"artist";"rank"
"http://dbpedia.org/resource/The_Beatles";295.343
"http://dbpedia.org/resource/The_Rolling_Stones";59.636
"http://dbpedia.org/resource/U2";103.039
"http://dbpedia.org/resource/Metallica";80.2294
"http://dbpedia.org/resource/The_Beach_Boys";72.8412
"http://dbpedia.org/resource/Radiohead";64.9971
"http://dbpedia.org/resource/Nirvana_(band)";60.247
"http://dbpedia.org/resource/Grateful_Dead";53.1277
"http://dbpedia.org/resource/Aerosmith";52.7773
"http://dbpedia.org/resource/Black_Sabbath";52.7286
"http://dbpedia.org/resource/Red_Hot_Chili_Peppers";51.7917
"http://dbpedia.org/resource/ABBA";45.3433
"http://dbpedia.org/resource/R.E.M.";44.7752
"http://dbpedia.org/resource/Linkin_Park";43.8686
"http://dbpedia.org/resource/Green_Day";43.5178
"http://dbpedia.org/resource/The_Black_Eyed_Peas";42.167
"http://dbpedia.org/resource/Nine_Inch_Nails";41.83
"http://dbpedia.org/resource/Bon_Jovi";41.7707
"http://dbpedia.org/resource/Ramones";41.6777
"http://dbpedia.org/resource/Pearl_Jam";41.2131
"http://dbpedia.org/resource/Deep_Purple";40.9412
"http://dbpedia.org/resource/Depeche_Mode";40.9206
"http://dbpedia.org/resource/The_Doors";39.2122
"http://dbpedia.org/resource/The_Cure";35.9181
"http://dbpedia.org/resource/Sonic_Youth";35.4796
"http://dbpedia.org/resource/Rush_(band)";35.315
"http://dbpedia.org/resource/Kraftwerk";34.9501
"http://dbpedia.org/resource/Genesis_(band)";34.7288
"http://dbpedia.org/resource/The_Byrds";31.9872
"http://dbpedia.org/resource/Eagles_(band)";31.0277
"http://dbpedia.org/resource/The_Smiths";30.9672
"http://dbpedia.org/resource/The_Smashing_Pumpkins";30.6925
"http://dbpedia.org/resource/Megadeth";30.2445
"http://dbpedia.org/resource/Slayer";30.0755
"http://dbpedia.org/resource/Public_Enemy_(group)";29.0048
"http://dbpedia.org/resource/Spice_Girls";28.6535
"http://dbpedia.org/resource/Korn";27.6795
"http://dbpedia.org/resource/Judas_Priest";27.5772
"http://dbpedia.org/resource/Rage_Against_the_Machine";27.4589
"http://dbpedia.org/resource/New_Order";27.3122
"http://dbpedia.org/resource/The_Supremes";27.0166
"http://dbpedia.org/resource/Alice_in_Chains";26.6682
"http://dbpedia.org/resource/The_Jackson_5";26.6545
"http://dbpedia.org/resource/Talking_Heads";26.2855
"http://dbpedia.org/resource/Fall_Out_Boy";25.9264
"http://dbpedia.org/resource/Backstreet_Boys";25.7053
"http://dbpedia.org/resource/Slipknot_(band)";24.764
"http://dbpedia.org/resource/Joy_Division";24.5188
"http://dbpedia.org/resource/Pet_Shop_Boys";24.469
"http://dbpedia.org/resource/Simon_&_Garfunkel";24.3885
"http://dbpedia.org/resource/Blink-182";24.175
"http://dbpedia.org/resource/King_Crimson";24.1576
"http://dbpedia.org/resource/Arctic_Monkeys";23.8171
"http://dbpedia.org/resource/The_Killers";23.6349
"http://dbpedia.org/resource/Wu-Tang_Clan";23.5494
"http://dbpedia.org/resource/Scorpions_(band)";23.2034
"http://dbpedia.org/resource/Jethro_Tull_(band)";23.1495
"http://dbpedia.org/resource/Soundgarden";23.1107
"http://dbpedia.org/resource/Lynyrd_Skynyrd";22.8815
"http://dbpedia.org/resource/The_Band";22.6338
"http://dbpedia.org/resource/Journey_(band)";22.5967
"http://dbpedia.org/resource/Weezer";22.5424
"http://dbpedia.org/resource/Pixies";22.2829
"http://dbpedia.org/resource/Outkast";22.2724
"http://dbpedia.org/resource/Dire_Straits";21.8941
"http://dbpedia.org/resource/NSYNC";21.7109
"http://dbpedia.org/resource/Maroon_5";21.5898
"http://dbpedia.org/resource/Destiny's_Child";21.3005
"http://dbpedia.org/resource/Dream_Theater";21.0937
"http://dbpedia.org/resource/ZZ_Top";20.9073
"http://dbpedia.org/resource/Siouxsie_and_the_Banshees";20.7551
"http://dbpedia.org/resource/Gorillaz";20.5126
"http://dbpedia.org/resource/Arcade_Fire";20.5007
"http://dbpedia.org/resource/The_Prodigy";20.1946
"http://dbpedia.org/resource/Phish";19.8303
"http://dbpedia.org/resource/Tool_(band)";19.7433
"http://dbpedia.org/resource/Anthrax_(American_band)";19.743
"http://dbpedia.org/resource/My_Chemical_Romance";19.7391
"http://dbpedia.org/resource/They_Might_Be_Giants";19.7388
"http://dbpedia.org/resource/Devo";19.6668
"http://dbpedia.org/resource/Jefferson_Airplane";19.6344
"http://dbpedia.org/resource/Bob_Marley_and_the_Wailers";19.3787
"http://dbpedia.org/resource/Santana_(band)";19.328
"http://dbpedia.org/resource/The_Chemical_Brothers";19.0515
"http://dbpedia.org/resource/The_Offspring";18.8365
"http://dbpedia.org/resource/The_Flaming_Lips";18.8025
"http://dbpedia.org/resource/Black_Flag_(band)";18.6747
"http://dbpedia.org/resource/Electric_Light_Orchestra";18.6159
"http://dbpedia.org/resource/Limp_Bizkit";18.5744
"http://dbpedia.org/resource/Small_Faces";18.2123
"http://dbpedia.org/resource/System_of_a_Down";18.1656
"http://dbpedia.org/resource/The_Shadows";17.3623
"http://dbpedia.org/resource/Emerson,_Lake_&_Palmer";16.9888
"http://dbpedia.org/resource/Jonas_Brothers";16.8458
"http://dbpedia.org/resource/TLC_(group)";16.8244
"http://dbpedia.org/resource/Kings_of_Leon";16.769
"http://dbpedia.org/resource/Styx_(band)";16.7277
"http://dbpedia.org/resource/N.W.A";16.5706
"http://dbpedia.org/resource/Rammstein";16.3247
"http://dbpedia.org/resource/The_Pussycat_Dolls";16.2526
